,ENSEMBL_ID,HGNC
752,ENSG00000125879,OTOR
753,ENSG00000166206,GABRB3
754,ENSG00000003987,MTMR7
755,ENSG00000185808,PIGP
756,ENSG00000271303,SRXN1
757,ENSG00000125821,DTD1
758,ENSG00000040731,CDH10
759,ENSG00000124783,SSR1
760,ENSG00000136161,RCBTB2
761,ENSG00000168267,PTF1A
762,ENSG00000154889,MPPE1
763,ENSG00000130703,OSBPL2
764,ENSG00000128245,YWHAH
765,ENSG00000099256,PRTFDC1
766,ENSG00000168300,PCMTD1
767,ENSG00000159197,KCNE2
768,ENSG00000274391,TPTE
769,ENSG00000137106,GRHPR
770,ENSG00000284439,TAF11L3
771,ENSG00000128203,ASPHD2
772,ENSG00000100104,SRRD
773,ENSG00000164294,GPX8
774,ENSG00000148426,PROSER2
775,ENSG00000104765,BNIP3L
776,ENSG00000100109,TFIP11
777,ENSG00000016082,ISL1
778,ENSG00000198718,TOGARAM1
779,ENSG00000178235,SLITRK1
780,ENSG00000137273,FOXF2
781,ENSG00000132965,ALOX5AP
782,ENSG00000124766,SOX4
783,ENSG00000151023,ENKUR
784,ENSG00000154122,ANKH
785,ENSG00000102466,FGF14
786,ENSG00000145996,CDKAL1
787,ENSG00000230031,POTEB2
788,ENSG00000122873,CISD1
789,ENSG00000119121,TRPM6
790,ENSG00000032742,IFT88
791,ENSG00000197892,KIF13B
792,ENSG00000146038,DCDC2
793,ENSG00000128294,TPST2
794,ENSG00000113593,PPWD1
795,ENSG00000136770,DNAJC1
796,ENSG00000172201,ID4
797,ENSG00000134146,DPH6
798,ENSG00000133962,CATSPERB
799,ENSG00000206503,HLA-A
800,ENSG00000100122,CRYBB1
801,ENSG00000102445,RUBCNL
802,ENSG00000159082,SYNJ1
803,ENSG00000196431,CRYBA4
804,ENSG00000122912,SLC25A16
805,ENSG00000188277,C15orf62
806,ENSG00000133466,C1QTNF6
807,ENSG00000166068,SPRED1
808,ENSG00000165443,PHYHIPL
809,ENSG00000053770,AP5M1
810,ENSG00000278195,SSTR3
811,ENSG00000125247,TMTC4
812,ENSG00000187045,TMPRSS6
813,ENSG00000248905,FMN1
814,ENSG00000168172,HOOK3
815,ENSG00000165548,TMEM63C
